1,1,181,44,17820,2022-10-27
2,1,9,17,8024,2022-10-27
3,2,116,48,18912,2022-10-27
4,2,151,37,12284,2022-10-27
5,2,16,34,10914,2022-10-27
6,2,43,41,18368,2022-10-27
7,2,163,45,17505,2022-10-27
8,3,69,15,7080,2022-10-27
9,3,30,29,11658,2022-10-27
10,3,26,37,7585,2022-10-27
11,3,97,47,18095,2022-10-27
12,3,219,49,7497,2022-10-27
13,3,28,40,15800,2022-10-27
14,4,92,22,2706,2022-10-27
15,4,33,16,7344,2022-10-27
16,4,34,49,12740,2022-10-27
17,4,134,47,22654,2022-10-27
18,5,165,37,15281,2022-10-27
19,5,5,17,5168,2022-10-27
20,5,6,10,2580,2022-10-27
21,5,200,24,4248,2022-10-27
22,6,17,10,2730,2022-10-27
23,6,142,10,3460,2022-10-27
24,6,6,36,9288,2022-10-27
25,7,92,34,4182,2022-10-27
26,8,13,45,7695,2022-10-27
27,8,154,13,6006,2022-10-27
28,8,84,40,15280,2022-10-27
29,8,25,49,15043,2022-10-27
30,8,13,24,4104,2022-10-27
33,10,220,44,16808,2022-10-27
34,10,45,45,7560,2022-10-27
35,10,39,35,12950,2022-10-27
36,10,166,23,6003,2022-10-27
37,10,65,26,5694,2022-10-27
38,11,182,48,15360,2022-10-27
39,11,86,23,7774,2022-10-27
40,11,121,19,6802,2022-10-27
41,11,86,30,10140,2022-10-27
42,12,44,31,12865,2022-10-27
43,12,43,20,8960,2022-10-27
44,12,49,46,5382,2022-10-27
45,12,59,39,16614,2022-10-27
46,13,44,19,7885,2022-10-27
47,13,111,27,4077,2022-10-27
48,13,217,31,13733,2022-10-27
49,14,12,33,8877,2022-10-27
50,14,106,30,11610,2022-10-27
51,14,165,45,18585,2022-10-27
52,15,98,22,2288,2022-10-27
53,15,53,46,15042,2022-10-27
54,15,36,13,3289,2022-10-27
55,16,13,18,3078,2022-10-27
56,16,144,34,10846,2022-10-27
57,16,173,27,10935,2022-10-27
58,16,118,21,5754,2022-10-27
59,17,101,38,4560,2022-10-27
60,17,157,43,4343,2022-10-27
61,17,214,31,7068,2022-10-27
62,17,107,41,9799,2022-10-27
63,18,31,11,4917,2022-10-27
64,18,81,10,1640,2022-10-27
65,18,213,22,9812,2022-10-27
66,19,130,36,8604,2022-10-27
67,19,98,22,2288,2022-10-27
68,19,121,22,7876,2022-10-27
69,19,111,33,4983,2022-10-27
70,20,85,34,8534,2022-10-27
71,20,86,46,15548,2022-10-27
72,21,143,31,5084,2022-10-27
73,21,103,38,16226,2022-10-27
74,21,142,41,14186,2022-10-27
75,21,159,24,8616,2022-10-27
76,21,208,30,14370,2022-10-27
77,22,170,49,9996,2022-10-27
78,22,54,42,13734,2022-10-27
79,22,62,48,11184,2022-10-27
80,23,22,42,15036,2022-10-27
81,23,188,17,2210,2022-10-27
82,24,209,16,5152,2022-10-27
83,24,154,13,6006,2022-10-27
84,25,44,23,9545,2022-10-27
85,25,107,13,3107,2022-10-27
86,26,201,41,11439,2022-10-27
87,26,36,11,2783,2022-10-27
88,26,165,34,14042,2022-10-27
89,26,207,45,10305,2022-10-27
90,27,200,24,4248,2022-10-27
91,27,41,15,3570,2022-10-27
92,27,155,35,4340,2022-10-27
93,27,91,19,4769,2022-10-27
94,27,214,21,4788,2022-10-27
95,28,160,41,19311,2022-10-27
96,28,181,11,4455,2022-10-27
97,28,213,41,18286,2022-10-27
98,28,187,24,4920,2022-10-27
99,29,157,16,1616,2022-10-27
100,29,51,11,2596,2022-10-27
101,30,99,18,8298,2022-10-27
102,30,36,30,7590,2022-10-27
103,30,145,12,2640,2022-10-27
104,31,173,36,14580,2022-10-27
105,31,193,34,13736,2022-10-27
106,31,128,41,9635,2022-10-27
107,32,209,33,10626,2022-10-27
108,32,153,26,5486,2022-10-27
109,32,96,27,10422,2022-10-27
110,32,67,10,4350,2022-10-27
111,33,112,46,18538,2022-10-27
112,34,50,10,1330,2022-10-27
113,34,106,40,15480,2022-10-27
114,34,177,39,19266,2022-10-27
115,34,113,12,2988,2022-10-27
116,35,128,46,10810,2022-10-27
117,35,93,25,8275,2022-10-27
118,35,150,12,2088,2022-10-27
119,35,167,40,12680,2022-10-27
120,36,122,24,4608,2022-10-27
121,36,189,33,7788,2022-10-27
122,36,176,19,9082,2022-10-27
123,37,102,23,7038,2022-10-27
124,38,188,29,3770,2022-10-27
125,38,95,39,5772,2022-10-27
126,38,82,43,19221,2022-10-27
127,39,45,24,4032,2022-10-27
128,39,22,16,5728,2022-10-27
129,39,92,32,3936,2022-10-27
130,40,1,45,13365,2022-10-27
131,40,55,36,17028,2022-10-27
132,41,94,16,5760,2022-10-27
133,41,160,10,4710,2022-10-27
134,41,64,47,15181,2022-10-27
135,41,38,42,7392,2022-10-27
136,41,180,41,11972,2022-10-27
137,42,150,37,6438,2022-10-27
138,42,33,26,11934,2022-10-27
139,42,57,15,6555,2022-10-27
140,43,178,33,12672,2022-10-27
141,43,29,11,2937,2022-10-27
142,44,64,10,3230,2022-10-27
143,44,119,25,12275,2022-10-27
144,45,174,18,5652,2022-10-27
145,45,219,22,3366,2022-10-27
146,46,185,33,13629,2022-10-27
147,46,171,15,1560,2022-10-27
148,47,139,26,7930,2022-10-27
149,47,57,14,6118,2022-10-27
150,47,101,40,4800,2022-10-27
151,48,184,44,13684,2022-10-27
152,49,91,48,12048,2022-10-27
153,49,86,22,7436,2022-10-27
154,49,80,29,6931,2022-10-27
155,50,127,39,8229,2022-10-27
